iter	Passed	Remaining
876	32120	4504
877	32164	4469
878	32209	4433
879	32256	4398
880	32308	4364
881	32347	4327
882	32386	4291
883	32423	4254
884	32464	4218
885	32502	4182
886	32540	4145
887	32579	4109
888	32618	4072
889	32660	4036
890	32700	4000
891	32739	3963
892	32778	3927
893	32817	3891
894	32855	3854
895	32893	3817
896	32932	3781
897	32970	3744
898	33006	3708
899	33045	3671
900	33081	3634
901	33117	3598
902	33153	3561
903	33188	3524
904	33225	3487
905	33261	3451
906	33299	3414
907	33336	3377
908	33372	3340
909	33408	3304
910	33444	3267
911	33480	3230
912	33516	3193
913	33553	3157
914	33589	3120
915	33625	3083
916	33660	3046
917	33696	3009
918	33732	2973
919	33769	2936
920	33807	2899
921	33843	2863
922	33878	2826
923	33915	2789
924	33952	2752
925	33991	2716
926	34029	2679
927	34068	2643
928	34105	2606
929	34143	2569
930	34179	2533
931	34215	2496
932	34252	2459
933	34288	2422
934	34328	2386
935	34369	2350
936	34406	2313
937	34442	2276
938	34477	2239
939	34515	2203
940	34553	2166
941	34590	2129
942	34628	2093
943	34664	2056
944	34704	2019
945	34742	1983
946	34778	1946
947	34814	1909
948	34849	1872
949	34884	1836
950	34919	1799
951	34974	1763
952	35040	1728
953	35091	1692
954	35134	1655
955	35171	1618
956	35208	1581
957	35245	1545
958	35283	1508
959	35320	1471
960	35356	1434
961	35390	1397
962	35425	1361
963	35460	1324
964	35495	1287
965	35532	1250
966	35568	1213
967	35604	1177
968	35641	1140
969	35676	1103
970	35715	1066
971	35750	1029
972	35789	993
973	35826	956
974	35861	919
975	35896	882
976	35932	845
977	35970	809
978	36007	772
979	36045	735
980	36083	698
981	36121	662
982	36158	625
983	36196	588
984	36233	551
985	36270	514
986	36307	478
987	36342	441
988	36378	404
989	36415	367
990	36451	331
991	36487	294
992	36523	257
993	36559	220
994	36595	183
995	36631	147
996	36667	110
997	36703	73
998	36739	36
999	36775	0
